Atraso;instancias/entradas_reais/v50_353.in;0;2709.3399999999992;2711.83;2764.0799999999986;2721.639999999999;2749.6299999999987;2700.939999999999;2705.399999999999;2763.5099999999993;2700.939999999999;2761.549999999999;2700.939999999999;2710.3899999999994;2712.39;2716.209999999999;2714.8799999999997;2717.219999999999;2737.2699999999995;2745.6599999999994;2726.119999999999;2730.9499999999994;2717.5399999999995;2708.9799999999996;2702.799999999999;2719.639999999999;2708.9799999999996;2698.3199999999997;2747.9699999999993;2707.0299999999993;2754.169999999999;2730.9299999999994
Intervalo;instancias/entradas_reais/v50_353.in;0;56.15114092826843;56.265763998031616;22.51123595237732;56.42455005645752;24.49261999130249;56.518791913986206;56.440979957580566;20.99185299873352;57.047959089279175;22.849338054656982;56.1062490940094;56.3282949924469;56.40850901603699;55.98020005226135;56.737175941467285;56.68647599220276;22.810556888580322;20.89468288421631;57.492725133895874;30.410908937454224;55.448620080947876;55.31267714500427;55.714155197143555;56.215567111968994;55.847646951675415;56.22985005378723;20.792118072509766;56.27103400230408;28.28033995628357;22.60123300552368
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;0;593.42;591.6800000000001;609.9;596.3499999999999;605.58;602.7500000000001;601.01;601.78;602.75;584.17;602.75;608.76;587.99;603.2499999999999;605.3699999999999;588.3299999999999;602.8899999999999;594.41;587.35;572.48;604.7;577.4699999999999;608.99;599.8199999999999;577.47;609.4899999999999;609.93;579.26;605.58;576.02
Iteraca_Saida;instancias/entradas_reais/v50_353.in;0;;;12;;13;;;11;;12;;;;;;;12;11;;16;;;;;;;11;;15;12
Atraso;instancias/entradas_reais/v50_353.in;1;2520.2900000000004;2528.260000000001;2513.5000000000005;2508.870000000001;2512.8800000000006;2516.6400000000012;2535.760000000001;2519.730000000001;2525.000000000001;2531.3000000000006;2530.2800000000007;2514.4300000000003;2517.6100000000006;2534.7;2535.03;2528.25;2513.26;2516.160000000001;2525.36;2520.91;2536.8600000000006;2525.110000000001;2515.3900000000003;2524.710000000001;2518.490000000001;2522.05;2517.170000000001;2521.58;2529.2500000000005;2521.9300000000007
Intervalo;instancias/entradas_reais/v50_353.in;1;59.01447510719299;21.390803813934326;58.56240797042847;58.93324089050293;58.4345920085907;58.69574689865112;23.324398040771484;59.2720890045166;31.227771043777466;25.945197105407715;25.320558786392212;58.5108540058136;58.73244595527649;21.45895504951477;21.714711904525757;52.998329162597656;59.11612105369568;59.67785310745239;23.558043956756592;59.00291109085083;21.13210701942444;54.28246021270752;58.28504800796509;56.51901602745056;46.44907283782959;54.60918402671814;59.40224003791809;58.68861508369446;23.323593139648438;55.1099898815155
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;1;2946.0199999999995;3043.3199999999997;3033.85;3051.4199999999996;3036.15;2929.82;3045.12;3013.5300000000007;3040.46;3027.8900000000003;3013.1699999999996;2986.5000000000005;3046.750000000001;3036.2199999999993;3047.89;3016.1799999999994;2885.45;2983.64;3040.74;2946.19;3002.7400000000002;3038.4400000000005;2770.32;2963.64;2971.3299999999995;2961.74;3041.63;2986.3999999999996;3036.6799999999994;3029.97
Iteraca_Saida;instancias/entradas_reais/v50_353.in;1;30;11;;;;;12;;16;13;13;;;11;11;27;30;;12;;11;28;;29;24;28;;;12;28
Atraso;instancias/entradas_reais/v50_353.in;2;2494.54;2496.7800000000007;2501.8900000000003;2502.7400000000002;2499.890000000001;2497.800000000001;2502.9500000000007;2498.2200000000007;2506.2299999999996;2492.8600000000006;2506.7100000000014;2499.110000000001;2499.13;2501.13;2494.6200000000003;2498.26;2500.8100000000004;2502.33;2502.4000000000005;2500.0400000000004;2501.32;2497.350000000001;2503.33;2500.500000000001;2501.070000000001;2503.5300000000007;2502.2800000000007;2497.5900000000006;2497.7400000000007;2492.98
Intervalo;instancias/entradas_reais/v50_353.in;2;50.222607135772705;38.303385972976685;36.14962387084961;26.39277195930481;25.956403970718384;36.198988914489746;29.978929042816162;24.733569860458374;44.28188514709473;30.906952142715454;36.214993953704834;46.279046058654785;39.931824922561646;39.81280207633972;24.509066104888916;50.44708204269409;40.26995015144348;32.6795699596405;26.13961410522461;36.17198300361633;41.88968300819397;33.703956842422485;38.00092005729675;48.09033703804016;43.875535011291504;21.75022006034851;48.83680009841919;44.34884190559387;24.059604167938232;24.32978916168213
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;2;4206.52;4641.59;4812.95;4645.61;4231.96;4285.599999999999;4379.06;4064.95;4291.540000000001;4616.610000000001;4028.01;4421.479999999999;4525.370000000001;4486.9000000000015;4696.320000000001;4533.03;4470.49;4348.3499999999985;4010.1199999999994;4121.799999999998;4399.530000000002;3974.919999999999;4230.789999999999;4345.4;4856.780000000001;4624.9;4278.389999999999;4398.24;4698.500000000001;4591.200000000001
Iteraca_Saida;instancias/entradas_reais/v50_353.in;2;25;19;18;13;13;18;15;12;22;15;18;23;20;20;12;25;20;16;13;18;21;17;19;24;22;11;24;22;12;12
Atraso;instancias/entradas_reais/v100_2411.in;0;10235.6;10197.929999999997;10251.449999999997;10259.149999999998;10202.79;10264.560000000003;10199.01;10263.76;10249.369999999999;10190.289999999999;10234.159999999998;10188.500000000002;10182.730000000001;10206.619999999999;10269.26;10251.039999999999;10267.329999999996;10184.839999999998;10187.679999999998;10273.880000000001;10241.83;10247.039999999999;10197.769999999999;10166.16;10180.009999999998;10220.610000000002;10182.420000000002;10257.689999999997;10205.89;10248.42
