Tipo Resultado;Instancia;Numero Configuracao;Rodadas
Atraso;instancias/entradas_reais/v50_353.in;0;2700.939999999999;2710.3899999999994;2712.39;2716.209999999999;2714.8799999999997;2717.219999999999;2737.2699999999995;2745.6599999999994;2726.119999999999;2730.9499999999994
Intervalo;instancias/entradas_reais/v50_353.in;0;56.1062490940094;56.3282949924469;56.40850901603699;55.98020005226135;56.737175941467285;56.68647599220276;22.810556888580322;20.89468288421631;57.492725133895874;30.410908937454224
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;0;602.75;608.76;587.99;603.2499999999999;605.3699999999999;588.3299999999999;602.8899999999999;594.41;587.35;572.48
Iteraca_Saida;instancias/entradas_reais/v50_353.in;0;;;;;;;12;11;;16
Atraso;instancias/entradas_reais/v50_353.in;1;2530.2800000000007;2514.4300000000003;2517.6100000000006;2534.7;2535.03;2528.25;2513.26;2516.160000000001;2525.36;2520.91
Intervalo;instancias/entradas_reais/v50_353.in;1;25.320558786392212;58.5108540058136;58.73244595527649;21.45895504951477;21.714711904525757;52.998329162597656;59.11612105369568;59.67785310745239;23.558043956756592;59.00291109085083
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;1;3013.1699999999996;2986.5000000000005;3046.750000000001;3036.2199999999993;3047.89;3016.1799999999994;2885.45;2983.64;3040.74;2946.19
Iteraca_Saida;instancias/entradas_reais/v50_353.in;1;13;;;11;11;27;30;;12;
Atraso;instancias/entradas_reais/v50_353.in;2;2506.7100000000014;2499.110000000001;2499.13;2501.13;2494.6200000000003;2498.26;2500.8100000000004;2502.33;2502.4000000000005;2500.0400000000004
Intervalo;instancias/entradas_reais/v50_353.in;2;36.214993953704834;46.279046058654785;39.931824922561646;39.81280207633972;24.509066104888916;50.44708204269409;40.26995015144348;32.6795699596405;26.13961410522461;36.17198300361633
Custo_Orcamentario;instancias/entradas_reais/v50_353.in;2;4028.01;4421.479999999999;4525.370000000001;4486.9000000000015;4696.320000000001;4533.03;4470.49;4348.3499999999985;4010.1199999999994;4121.799999999998
Iteraca_Saida;instancias/entradas_reais/v50_353.in;2;18;23;20;20;12;25;20;16;13;18
Atraso;instancias/entradas_reais/v100_2411.in;0;10234.159999999998;10188.500000000002;10182.730000000001;10206.619999999999;10269.26;10251.039999999999;10267.329999999996;10184.839999999998;10187.679999999998;10273.880000000001
Intervalo;instancias/entradas_reais/v100_2411.in;0;37.509071826934814;75.93059492111206;75.64059495925903;76.40534400939941;27.483654975891113;45.26427388191223;27.716938018798828;76.76618504524231;77.1751880645752;28.185083866119385
Custo_Orcamentario;instancias/entradas_reais/v100_2411.in;0;2254.28;2256.13;2257.3299999999995;2252.1099999999997;2247.5;2202.74;2259.2400000000002;2253.4700000000003;2087.1299999999997;2195.71
Iteraca_Saida;instancias/entradas_reais/v100_2411.in;0;15;;;;11;18;11;;;11
Atraso;instancias/entradas_reais/v100_2411.in;1;9991.91;9993.15;9996.620000000003;9985.64;9982.939999999999;9988.150000000003;9988.519999999997;9978.839999999998;9985.149999999998;9991.420000000004
Intervalo;instancias/entradas_reais/v100_2411.in;1;45.989192962646484;58.78685903549194;38.19095206260681;88.40084505081177;83.91774010658264;64.22102689743042;48.39421606063843;89.29708099365234;88.53498315811157;31.951738119125366
Custo_Orcamentario;instancias/entradas_reais/v100_2411.in;1;11231.299999999997;11252.460000000001;11217.950000000003;11297.199999999997;11229.699999999999;11245.060000000001;11262.329999999996;11212.860000000002;11303.279999999997;11282.62
Iteraca_Saida;instancias/entradas_reais/v100_2411.in;1;16;20;13;;28;22;16;;;11
Atraso;instancias/entradas_reais/v100_2411.in;2;9965.35;9964.630000000005;9961.440000000002;9955.989999999998;9963.099999999999;9967.850000000002;9962.710000000005;9958.340000000004;9960.130000000005;9965.969999999998
Intervalo;instancias/entradas_reais/v100_2411.in;2;48.28640794754028;46.01289701461792;66.32981896400452;88.6480929851532;40.12363791465759;63.55917000770569;59.68817687034607;56.73422908782959;42.942174196243286;79.15038108825684
Custo_Orcamentario;instancias/entradas_reais/v100_2411.in;2;15055.339999999998;14324.67;15422.710000000001;14970.969999999998;15358.62;14825.869999999997;14236.11;15313.28;15082.270000000002;15456.049999999997
Iteraca_Saida;instancias/entradas_reais/v100_2411.in;2;16;15;22;29;13;21;19;18;14;26
Atraso;instancias/entradas_reais/F100440;0;425.0;427.0;464.0;412.0;402.0;482.0;442.0;416.0;454.0;422.0
Intervalo;instancias/entradas_reais/F100440;0;22.58691906929016;23.10045099258423;10.702481985092163;22.91784906387329;23.245237827301025;8.20333218574524;23.020672082901;23.081151008605957;10.769438028335571;22.87989902496338
Custo_Orcamentario;instancias/entradas_reais/F100440;0;1699.0;1776.0;1746.0;1773.0;1757.0;1769.0;1744.0;1746.0;1764.0;1779.0
Iteraca_Saida;instancias/entradas_reais/F100440;0;;;14;;;11;;;14;
Atraso;instancias/entradas_reais/F100440;1;193.0;210.0;196.0;195.0;200.0;187.0;207.0;205.0;192.0;204.0
Intervalo;instancias/entradas_reais/F100440;1;22.798030853271484;15.29324197769165;9.019675016403198;22.755913972854614;19.45729899406433;20.857011079788208;8.575870037078857;10.02200722694397;20.75578999519348;8.844420909881592
Custo_Orcamentario;instancias/entradas_reais/F100440;1;8703.0;8886.0;8810.0;8761.0;8777.0;8615.0;8890.0;8877.0;8894.0;8863.0
Iteraca_Saida;instancias/entradas_reais/F100440;1;;20;12;;25;28;11;13;28;12
Atraso;instancias/entradas_reais/F100440;2;170.0;168.0;153.0;159.0;160.0;153.0;164.0;160.0;172.0;158.0
