Instancia,Budget,percentual,Tempo B&B,Solução B&B,Tempo Lagran,Solução Lagran
c01,,0.1,2,3422,1,3458
,,0.2,3,3163,2,3175
,,0.3,6,2978,3,3025
c02,,0.1,5,3283,1,3311
,,0.2,4,3029,3,3050
,,0.3,5,2855,4,2871
c03,,0.1,15,3299,1,3326
,,0.2,7,3034,2,3047
,,0.3,7,2854,4,2903
c04,,0.1,9,3337,1,3363
,,0.2,8,3085,3,3105
,,0.3,11,2910,3,2923
c05,,0.1,6,3315,0,3341
,,0.2,6,3068,2,3086
,,0.3,5,2887,4,2903
c06,,0.1,32,2534,1,2564
,,0.2,15,2318,3,2346
,,0.3,15,2172,4,2211
c07,,0.1,30,2532,0,2562
,,0.2,17,2323,2,2352
,,0.3,14,2179,4,2219
c08,,0.1,25,2461,1,2496
,,0.2,18,2247,2,2280
,,0.3,13,2105,4,2146
c09,,0.1,37,2415,1,2443
,,0.2,24,2208,3,2234
,,0.3,30,2069,3,2084
c10,,0.1,22,2463,1,2494
,,0.2,18,2258,2,2295
,,0.3,24,2116,4,2129
c11,,0.1,102,1509,1,1533
,,0.2,255,1351,3,1396
,,0.3,248,1237,6,1246
c12,,0.1,27,1553,1,1587
,,0.2,48,1386,2,1416
,,0.3,56,1271,4,1317
c13,,0.1,17,1524,1,1548
,,0.2,412,1364,3,1402
,,0.3,786,1248,5,1260
c14,,0.1,50,1530,1,1563
,,0.2,39,1367,2,1418
,,0.3,92,1241,4,1260
c15,,0.1,22,1529,0,1562
,,0.2,36,1366,3,1414
,,0.3,26,1249,4,1295
c16,,0.1,1800,953,2,978
,,0.2,1800,817,3,832
,,0.3,60,739,7,764
c17,,0.1,1800,944,2,971
,,0.2,1800,814,5,831
,,0.3,49,745,6,755
c18,,0.1,1800,946,2,964
,,0.2,1800,820,4,834
,,0.3,46,749,6,763
c19,,0.1,1800,936,3,951
,,0.2,1800,819,4,835
,,0.3,417,748,5,761
c20,,0.1,1800,939,2,960
,,0.2,1800,819,3,833
,,0.3,56,754,5,765
