Instancia,Budget,percentual,Tempo B&B,Solução B&B,Tempo Lagran,Solução Lagran
e100-1,,0.1,,,1,974
,,0.2,,,1,910
,,0.3,,,0,873
e100-2,,0.1,,,1,1019
,,0.2,,,1,962
,,0.3,,,1,918
e100-3,,0.1,,,1,974
,,0.2,,,1,909
,,0.3,,,0,863
e100-4,,0.1,,,1,999
,,0.2,,,1,928
,,0.3,,,1,884
e100-5,,0.1,,,1,1026
,,0.2,,,1,955
,,0.3,,,0,904
e100-6,,0.1,,,1,1020
,,0.2,,,0,961
,,0.3,,,0,915
e100-7,,0.1,,,1,1028
,,0.2,,,1,962
,,0.3,,,1,914
e100-8,,0.1,,,0,1020
,,0.2,,,0,959
,,0.3,,,0,916
e100-9,,0.1,,,0,955
,,0.2,,,1,900
,,0.3,,,0,856
e100-10,,0.1,,,1,1020
,,0.2,,,1,959
,,0.3,,,1,916
e150-1,,0.1,,,1,1165
,,0.2,,,1,1093
,,0.3,,,1,1035
e150-2,,0.1,,,2,1238
,,0.2,,,1,1161
,,0.3,,,1,1101
e150-3,,0.1,,,1,1217
,,0.2,,,2,1135
,,0.3,,,2,1075
e150-4,,0.1,,,1,1231
,,0.2,,,1,1140
,,0.3,,,1,1083
e150-5,,0.1,,,2,1260
,,0.2,,,1,1177
,,0.3,,,1,1115
e150-6,,0.1,,,1,1232
,,0.2,,,1,1153
,,0.3,,,2,1092
e150-7,,0.1,,,2,1247
,,0.2,,,1,1163
,,0.3,,,1,1101
e150-8,,0.1,,,2,1209
,,0.2,,,1,1121
,,0.3,,,2,1072
e150-9,,0.1,,,2,1248
,,0.2,,,1,1166
,,0.3,,,2,1103
e150-10,,0.1,,,1,1214
,,0.2,,,2,1137
,,0.3,,,2,1079
e250-1,,0.1,,,3,1402
,,0.2,,,3,1308
,,0.3,,,3,1236
e250-2,,0.1,,,2,1447
,,0.2,,,3,1354
,,0.3,,,2,1277
e250-3,,0.1,,,2,1444
,,0.2,,,4,1343
,,0.3,,,2,1274
e250-4,,0.1,,,2,1477
,,0.2,,,2,1387
,,0.3,,,3,1318
e250-5,,0.1,,,2,1471
,,0.2,,,3,1374
,,0.3,,,2,1296
e250-6,,0.1,,,2,1483
,,0.2,,,2,1383
,,0.3,,,3,1313
e250-7,,0.1,,,2,1466
,,0.2,,,3,1365
,,0.3,,,3,1296
e250-8,,0.1,,,3,1413
,,0.2,,,3,1319
,,0.3,,,3,1344
e250-9,,0.1,,,3,1486
,,0.2,,,3,1392
,,0.3,,,3,1320
e250-10,,0.1,,,3,1470
,,0.2,,,3,1379
,,0.3,,,3,1314
e500-1,,0.1,,,29,2512
,,0.2,,,24,2324
,,0.3,,,25,2190
e500-2,,0.1,,,24,2466
,,0.2,,,25,2287
,,0.3,,,26,2148
e500-3,,0.1,,,23,2568
,,0.2,,,23,2370
,,0.3,,,34,2228
e500-4,,0.1,,,23,2439
,,0.2,,,27,2254
,,0.3,,,38,2132
e500-5,,0.1,,,23,2424
,,0.2,,,36,2244
,,0.3,,,31,2107
e500-6,,0.1,,,41,2484
,,0.2,,,27,2295
,,0.3,,,24,2170
e500-7,,0.1,,,26,2455
,,0.2,,,31,2259
,,0.3,,,28,2127
e500-8,,0.1,,,29,2526
,,0.2,,,25,2314
,,0.3,,,27,2170
e500-9,,0.1,,,22,2473
,,0.2,,,42,2296
,,0.3,,,28,2164
e500-10,,0.1,,,27,2506
,,0.2,,,30,2324
,,0.3,,,33,2192
