Tipo Resultado;Instancia;Numero Configuracao;Rodadas
Intervalo;instancias/entradas_reais/e100-5.in;0;147.1067509651184
Custo_Orcamentario;instancias/entradas_reais/e100-5.in;0;57.0
Iteraca_Saida;instancias/entradas_reais/e100-5.in;0;29
Atraso;instancias/entradas_reais/e100-5.in;1;999.0
Intervalo;instancias/entradas_reais/e100-5.in;1;153.67133688926697
Custo_Orcamentario;instancias/entradas_reais/e100-5.in;1;114.0
Iteraca_Saida;instancias/entradas_reais/e100-5.in;1;29
Atraso;instancias/entradas_reais/e100-5.in;2;958.0
Intervalo;instancias/entradas_reais/e100-5.in;2;85.25673007965088
Custo_Orcamentario;instancias/entradas_reais/e100-5.in;2;172.0
Iteraca_Saida;instancias/entradas_reais/e100-5.in;2;16
Atraso;instancias/entradas_reais/e100-1.in;0;1004.0
Intervalo;instancias/entradas_reais/e100-1.in;0;148.08021903038025
Custo_Orcamentario;instancias/entradas_reais/e100-1.in;0;58.0
Iteraca_Saida;instancias/entradas_reais/e100-1.in;0;29
Atraso;instancias/entradas_reais/e100-1.in;1;960.0
Intervalo;instancias/entradas_reais/e100-1.in;1;156.99905705451965
Custo_Orcamentario;instancias/entradas_reais/e100-1.in;1;117.0
Iteraca_Saida;instancias/entradas_reais/e100-1.in;1;29
Atraso;instancias/entradas_reais/e100-1.in;2;949.0
Intervalo;instancias/entradas_reais/e100-1.in;2;70.33165884017944
Custo_Orcamentario;instancias/entradas_reais/e100-1.in;2;176.0
Iteraca_Saida;instancias/entradas_reais/e100-1.in;2;13
Atraso;instancias/entradas_reais/e100-10.in;0;1038.0
Intervalo;instancias/entradas_reais/e100-10.in;0;148.6360821723938
Custo_Orcamentario;instancias/entradas_reais/e100-10.in;0;56.0
Iteraca_Saida;instancias/entradas_reais/e100-10.in;0;29
Atraso;instancias/entradas_reais/e100-10.in;1;1003.0
Intervalo;instancias/entradas_reais/e100-10.in;1;155.64032101631165
Custo_Orcamentario;instancias/entradas_reais/e100-10.in;1;114.0
Iteraca_Saida;instancias/entradas_reais/e100-10.in;1;29
Atraso;instancias/entradas_reais/e100-10.in;2;976.0
Intervalo;instancias/entradas_reais/e100-10.in;2;69.8411180973053
Custo_Orcamentario;instancias/entradas_reais/e100-10.in;2;173.0
Iteraca_Saida;instancias/entradas_reais/e100-10.in;2;13
