Tipo Resultado;Instancia;Numero Configuracao;Rodadas
Iteraca_Saida;instancias/entradas_reais/e250-5.in;2;29
Atraso;instancias/entradas_reais/e250-9.in;0;1724.0
Intervalo;instancias/entradas_reais/e250-9.in;0;4165.713723182678
Custo_Orcamentario;instancias/entradas_reais/e250-9.in;0;136.0
Iteraca_Saida;instancias/entradas_reais/e250-9.in;0;29
Atraso;instancias/entradas_reais/e250-9.in;1;1625.0
Intervalo;instancias/entradas_reais/e250-9.in;1;4680.1261830329895
Custo_Orcamentario;instancias/entradas_reais/e250-9.in;1;273.0
Iteraca_Saida;instancias/entradas_reais/e250-9.in;1;29
Atraso;instancias/entradas_reais/e250-9.in;2;1595.0
Intervalo;instancias/entradas_reais/e250-9.in;2;2046.9039199352264
Custo_Orcamentario;instancias/entradas_reais/e250-9.in;2;410.0
Iteraca_Saida;instancias/entradas_reais/e250-9.in;2;12
Atraso;instancias/entradas_reais/e250-6.in;0;1802.0
Intervalo;instancias/entradas_reais/e250-6.in;0;4138.285885810852
Custo_Orcamentario;instancias/entradas_reais/e250-6.in;0;143.0
Iteraca_Saida;instancias/entradas_reais/e250-6.in;0;29
Atraso;instancias/entradas_reais/e250-6.in;1;1698.0
Intervalo;instancias/entradas_reais/e250-6.in;1;4702.490023136139
Custo_Orcamentario;instancias/entradas_reais/e250-6.in;1;287.0
Iteraca_Saida;instancias/entradas_reais/e250-6.in;1;29
Atraso;instancias/entradas_reais/e250-6.in;2;1616.0
Intervalo;instancias/entradas_reais/e250-6.in;2;5222.4421718120575
Custo_Orcamentario;instancias/entradas_reais/e250-6.in;2;429.0
Iteraca_Saida;instancias/entradas_reais/e250-6.in;2;29
Atraso;instancias/entradas_reais/e250-4.in;0;1759.0
Intervalo;instancias/entradas_reais/e250-4.in;0;4133.557723045349
Custo_Orcamentario;instancias/entradas_reais/e250-4.in;0;130.0
Iteraca_Saida;instancias/entradas_reais/e250-4.in;0;29
Atraso;instancias/entradas_reais/e250-4.in;1;1649.0
Intervalo;instancias/entradas_reais/e250-4.in;1;4725.57970905304
Custo_Orcamentario;instancias/entradas_reais/e250-4.in;1;263.0
Iteraca_Saida;instancias/entradas_reais/e250-4.in;1;29
Atraso;instancias/entradas_reais/e250-4.in;2;1572.0
Intervalo;instancias/entradas_reais/e250-4.in;2;5216.006959199905
Custo_Orcamentario;instancias/entradas_reais/e250-4.in;2;395.0
Iteraca_Saida;instancias/entradas_reais/e250-4.in;2;29
Atraso;instancias/entradas_reais/e250-2.in;0;1711.0
Intervalo;instancias/entradas_reais/e250-2.in;0;4160.080631971359
Custo_Orcamentario;instancias/entradas_reais/e250-2.in;0;133.0
Iteraca_Saida;instancias/entradas_reais/e250-2.in;0;29
Atraso;instancias/entradas_reais/e250-2.in;1;1615.0
Intervalo;instancias/entradas_reais/e250-2.in;1;4758.716646909714
Custo_Orcamentario;instancias/entradas_reais/e250-2.in;1;265.0
Iteraca_Saida;instancias/entradas_reais/e250-2.in;1;29
Atraso;instancias/entradas_reais/e250-2.in;2;1547.0
Intervalo;instancias/entradas_reais/e250-2.in;2;5208.591664791107
Custo_Orcamentario;instancias/entradas_reais/e250-2.in;2;400.0
Iteraca_Saida;instancias/entradas_reais/e250-2.in;2;29
