Tipo Resultado;Instancia;Numero Configuracao;Rodadas
Atraso;instancias/entradas_reais/e250-7.in;0;1736.0
Intervalo;instancias/entradas_reais/e250-7.in;0;4081.4757351875305
Custo_Orcamentario;instancias/entradas_reais/e250-7.in;0;139.0
Iteraca_Saida;instancias/entradas_reais/e250-7.in;0;29
Atraso;instancias/entradas_reais/e250-7.in;1;1637.0
Intervalo;instancias/entradas_reais/e250-7.in;1;4653.548424959183
Custo_Orcamentario;instancias/entradas_reais/e250-7.in;1;279.0
Iteraca_Saida;instancias/entradas_reais/e250-7.in;1;29
Atraso;instancias/entradas_reais/e250-7.in;2;1561.0
Intervalo;instancias/entradas_reais/e250-7.in;2;5104.772024154663
Custo_Orcamentario;instancias/entradas_reais/e250-7.in;2;418.0
Iteraca_Saida;instancias/entradas_reais/e250-7.in;2;29
Atraso;instancias/entradas_reais/e250-3.in;0;1718.0
Intervalo;instancias/entradas_reais/e250-3.in;0;4116.372273921967
Custo_Orcamentario;instancias/entradas_reais/e250-3.in;0;134.0
Iteraca_Saida;instancias/entradas_reais/e250-3.in;0;29
Atraso;instancias/entradas_reais/e250-3.in;1;1610.0
Intervalo;instancias/entradas_reais/e250-3.in;1;4704.378004074097
Custo_Orcamentario;instancias/entradas_reais/e250-3.in;1;267.0
Iteraca_Saida;instancias/entradas_reais/e250-3.in;1;29
Atraso;instancias/entradas_reais/e250-3.in;2;1529.0
Intervalo;instancias/entradas_reais/e250-3.in;2;5211.580345869064
Custo_Orcamentario;instancias/entradas_reais/e250-3.in;2;401.0
Iteraca_Saida;instancias/entradas_reais/e250-3.in;2;29
Atraso;instancias/entradas_reais/e250-8.in;0;1763.0
Intervalo;instancias/entradas_reais/e250-8.in;0;4109.084863901138
Custo_Orcamentario;instancias/entradas_reais/e250-8.in;0;137.0
Iteraca_Saida;instancias/entradas_reais/e250-8.in;0;29
Atraso;instancias/entradas_reais/e250-8.in;1;1632.0
Intervalo;instancias/entradas_reais/e250-8.in;1;4730.240163087845
Custo_Orcamentario;instancias/entradas_reais/e250-8.in;1;273.0
Iteraca_Saida;instancias/entradas_reais/e250-8.in;1;29
Atraso;instancias/entradas_reais/e250-8.in;2;1569.0
Intervalo;instancias/entradas_reais/e250-8.in;2;5184.571968793869
Custo_Orcamentario;instancias/entradas_reais/e250-8.in;2;410.0
Iteraca_Saida;instancias/entradas_reais/e250-8.in;2;29
Atraso;instancias/entradas_reais/e250-10.in;0;1731.0
Intervalo;instancias/entradas_reais/e250-10.in;0;4168.911502122879
Custo_Orcamentario;instancias/entradas_reais/e250-10.in;0;136.0
Iteraca_Saida;instancias/entradas_reais/e250-10.in;0;29
Atraso;instancias/entradas_reais/e250-10.in;1;1636.0
Intervalo;instancias/entradas_reais/e250-10.in;1;4723.0202560424805
Custo_Orcamentario;instancias/entradas_reais/e250-10.in;1;271.0
Iteraca_Saida;instancias/entradas_reais/e250-10.in;1;29
Atraso;instancias/entradas_reais/e250-10.in;2;1550.0
Intervalo;instancias/entradas_reais/e250-10.in;2;5182.836861133575
Custo_Orcamentario;instancias/entradas_reais/e250-10.in;2;407.0
Iteraca_Saida;instancias/entradas_reais/e250-10.in;2;29
Atraso;instancias/entradas_reais/e250-1.in;0;1683.0
Intervalo;instancias/entradas_reais/e250-1.in;0;4120.127713918686
Custo_Orcamentario;instancias/entradas_reais/e250-1.in;0;145.0
Iteraca_Saida;instancias/entradas_reais/e250-1.in;0;29
Atraso;instancias/entradas_reais/e250-1.in;1;1643.0
Intervalo;instancias/entradas_reais/e250-1.in;1;1666.7372419834137
Custo_Orcamentario;instancias/entradas_reais/e250-1.in;1;291.0
Iteraca_Saida;instancias/entradas_reais/e250-1.in;1;11
Atraso;instancias/entradas_reais/e250-1.in;2;1518.0
Intervalo;instancias/entradas_reais/e250-1.in;2;5232.688519001007
Custo_Orcamentario;instancias/entradas_reais/e250-1.in;2;434.0
Iteraca_Saida;instancias/entradas_reais/e250-1.in;2;29
Atraso;instancias/entradas_reais/e250-5.in;0;1709.0
Intervalo;instancias/entradas_reais/e250-5.in;0;4208.050290107727
Custo_Orcamentario;instancias/entradas_reais/e250-5.in;0;135.0
Iteraca_Saida;instancias/entradas_reais/e250-5.in;0;29
Atraso;instancias/entradas_reais/e250-5.in;1;1612.0
Intervalo;instancias/entradas_reais/e250-5.in;1;4677.775743961334
Custo_Orcamentario;instancias/entradas_reais/e250-5.in;1;268.0
Iteraca_Saida;instancias/entradas_reais/e250-5.in;1;29
Atraso;instancias/entradas_reais/e250-5.in;2;1524.0
Intervalo;instancias/entradas_reais/e250-5.in;2;5239.900862932205
Custo_Orcamentario;instancias/entradas_reais/e250-5.in;2;405.0
